productkey,orderdatekey,duedatekey,shipdatekey,customerkey,promotionkey,currencykey,salesordernumber,totalproductcost,salesamount
310,20191229,20200110,20200105,21768,1,19,SO43697,"2,171.29",3578.27
346,20191229,20200110,20200105,28389,1,39,SO43698,"1,912.15",3399.99
346,20191229,20200110,20200105,25863,1,100,SO43699,"1,912.15",3399.99
336,20191229,20200110,20200105,14501,1,100,SO43700,413.15,699.1
346,20191229,20200110,20200105,11003,1,6,SO43701,"1,912.15",3399.99
311,20191230,20200111,20200106,27645,1,100,SO43702,"2,171.29",3578.27
310,20191230,20200111,20200106,16624,1,6,SO43703,"2,171.29",3578.27
351,20191230,20200111,20200106,11005,1,6,SO43704,"1,898.09",3374.99
344,20191230,20200111,20200106,11011,1,6,SO43705,"1,912.15",3399.99
312,20191231,20200112,20200107,27621,1,100,SO43706,"2,171.29",3578.27
312,20191231,20200112,20200107,27616,1,100,SO43707,"2,171.29",3578.27
330,20191231,20200112,20200107,20042,1,98,SO43708,413.15,699.1
313,20191231,20200112,20200107,16351,1,6,SO43709,"2,171.29",3578.27
314,20191231,20200112,20200107,16517,1,6,SO43710,"2,171.29",3578.27
314,20200101,20200113,20200108,27606,1,100,SO43711,"2,171.29",3578.27
311,20200101,20200113,20200108,13513,1,29,SO43712,"2,171.29",3578.27
310,20200102,20200114,20200109,27601,1,100,SO43713,"2,171.29",3578.27
311,20200102,20200114,20200109,13591,1,98,SO43714,"2,171.29",3578.27
314,20200102,20200114,20200109,16483,1,6,SO43715,"2,171.29",3578.27
311,20200102,20200114,20200109,16529,1,6,SO43716,"2,171.29",3578.27
336,20200102,20200114,20200109,25249,1,6,SO43717,413.15,699.1
311,20200103,20200115,20200110,27668,1,100,SO43718,"2,171.29",3578.27
312,20200103,20200115,20200110,27612,1,100,SO43719,"2,171.29",3578.27
311,20200103,20200115,20200110,13264,1,29,SO43720,"2,171.29",3578.27
310,20200103,20200115,20200110,13590,1,98,SO43721,"2,171.29",3578.27
312,20200104,20200116,20200111,13581,1,98,SO43722,"2,171.29",3578.27
332,20200104,20200116,20200111,14520,1,100,SO43723,413.15,699.1
311,20200104,20200116,20200111,16520,1,6,SO43724,"2,171.29",3578.27
311,20200105,20200117,20200112,13258,1,29,SO43725,"2,171.29",3578.27
332,20200105,20200117,20200112,14560,1,100,SO43726,413.15,699.1
311,20200105,20200117,20200112,16607,1,6,SO43727,"2,171.29",3578.27
313,20200106,20200118,20200113,27666,1,100,SO43728,"2,171.29",3578.27
346,20200106,20200118,20200113,11238,1,98,SO43729,"1,912.15",3399.99
346,20200106,20200118,20200113,25861,1,100,SO43730,"1,912.15",3399.99
314,20200106,20200118,20200113,16629,1,6,SO43731,"2,171.29",3578.27
350,20200106,20200118,20200113,11025,1,6,SO43732,"1,898.09",3374.99
312,20200106,20200118,20200113,27577,1,100,SO43733,"2,171.29",3578.27
312,20200107,20200119,20200114,27604,1,100,SO43734,"2,171.29",3578.27
310,20200107,20200119,20200114,16522,1,6,SO43735,"2,171.29",3578.27
346,20200107,20200119,20200114,11002,1,6,SO43736,"1,912.15",3399.99
311,20200108,20200120,20200115,13261,1,29,SO43737,"2,171.29",3578.27
312,20200108,20200120,20200115,11606,1,39,SO43738,"2,171.29",3578.27
310,20200108,20200120,20200115,13563,1,98,SO43739,"2,171.29",3578.27
312,20200108,20200120,20200115,16527,1,6,SO43740,"2,171.29",3578.27
310,20200109,20200121,20200116,27671,1,100,SO43741,"2,171.29",3578.27
314,20200109,20200121,20200116,13576,1,98,SO43742,"2,171.29",3578.27
347,20200109,20200121,20200116,11007,1,6,SO43743,"1,912.15",3399.99
313,20200109,20200121,20200116,16631,1,6,SO43744,"2,171.29",3578.27
311,20200110,20200122,20200117,16514,1,6,SO43745,"2,171.29",3578.27
312,20200110,20200122,20200117,16616,1,6,SO43746,"2,171.29",3578.27
314,20200111,20200123,20200118,27623,1,100,SO43747,"2,171.29",3578.27
313,20200111,20200123,20200118,27625,1,100,SO43748,"2,171.29",3578.27
314,20200111,20200123,20200118,27636,1,100,SO43749,"2,171.29",3578.27
311,20200111,20200123,20200118,11591,1,39,SO43750,"2,171.29",3578.27
313,20200111,20200123,20200118,11592,1,39,SO43751,"2,171.29",3578.27
311,20200111,20200123,20200118,13265,1,29,SO43752,"2,171.29",3578.27
310,20200111,20200123,20200118,16482,1,6,SO43753,"2,171.29",3578.27
312,20200112,20200124,20200119,27617,1,100,SO43754,"2,171.29",3578.27
311,20200112,20200124,20200119,27670,1,100,SO43755,"2,171.29",3578.27
332,20200112,20200124,20200119,19941,1,98,SO43756,413.15,699.1
350,20200112,20200124,20200119,11017,1,6,SO43757,"1,898.09",3374.99
310,20200113,20200125,20200120,27646,1,100,SO43758,"2,171.29",3578.27
310,20200113,20200125,20200120,13257,1,29,SO43759,"2,171.29",3578.27
314,20200113,20200125,20200120,16352,1,6,SO43760,"2,171.29",3578.27
310,20200113,20200125,20200120,16493,1,6,SO43761,"2,171.29",3578.27
314,20200114,20200126,20200121,27578,1,100,SO43762,"2,171.29",3578.27
313,20200114,20200126,20200121,16525,1,6,SO43763,"2,171.29",3578.27
310,20200114,20200126,20200121,16612,1,6,SO43764,"2,171.29",3578.27
346,20200114,20200126,20200121,11010,1,6,SO43765,"1,912.15",3399.99
313,20200115,20200127,20200122,16518,1,6,SO43766,"2,171.29",3578.27
350,20200115,20200127,20200122,11001,1,6,SO43767,"1,898.09",3374.99
312,20200116,20200128,20200123,27649,1,100,SO43768,"2,171.29",3578.27
312,20200116,20200128,20200123,21659,1,19,SO43769,"2,171.29",3578.27
312,20200116,20200128,20200123,27614,1,100,SO43770,"2,171.29",3578.27
330,20200116,20200128,20200123,14559,1,100,SO43771,413.15,699.1
312,20200116,20200128,20200123,16524,1,6,SO43772,"2,171.29",3578.27
314,20200116,20200128,20200123,16526,1,6,SO43773,"2,171.29",3578.27
313,20200116,20200128,20200123,16348,1,6,SO43774,"2,171.29",3578.27
347,20200116,20200128,20200123,11027,1,6,SO43775,"1,912.15",3399.99
314,20200117,20200129,20200124,13260,1,29,SO43776,"2,171.29",3578.27
311,20200117,20200129,20200124,16515,1,6,SO43777,"2,171.29",3578.27
345,20200117,20200129,20200124,11018,1,6,SO43778,"1,912.15",3399.99
326,20200117,20200129,20200124,25252,1,6,SO43779,413.15,699.1
311,20200118,20200130,20200125,11599,1,39,SO43780,"2,171.29",3578.27
312,20200118,20200130,20200125,16495,1,6,SO43781,"2,171.29",3578.27
312,20200118,20200130,20200125,16516,1,6,SO43782,"2,171.29",3578.27
312,20200118,20200130,20200125,16620,1,6,SO43783,"2,171.29",3578.27
310,20200119,20200131,20200126,27667,1,100,SO43784,"2,171.29",3578.27
311,20200119,20200131,20200126,11601,1,39,SO43785,"2,171.29",3578.27
311,20200119,20200131,20200126,11607,1,39,SO43786,"2,171.29",3578.27
344,20200119,20200131,20200126,29385,1,29,SO43787,"1,912.15",3399.99
351,20200119,20200131,20200126,11239,1,98,SO43788,"1,898.09",3374.99
351,20200119,20200131,20200126,25865,1,100,SO43789,"1,898.09",3374.99
344,20200119,20200131,20200126,25857,1,100,SO43790,"1,912.15",3399.99
314,20200119,20200131,20200126,16484,1,6,SO43791,"2,171.29",3578.27
312,20200119,20200131,20200126,16623,1,6,SO43792,"2,171.29",3578.27
344,20200119,20200131,20200126,11000,1,6,SO43793,"1,912.15",3399.99
347,20200119,20200131,20200126,11029,1,6,SO43794,"1,912.15",3399.99
312,20200120,20200201,20200127,27615,1,100,SO43795,"2,171.29",3578.27
342,20200120,20200201,20200127,17956,1,39,SO43796,413.15,699.1
312,20200120,20200201,20200127,16345,1,6,SO43797,"2,171.29",3578.27
310,20200120,20200201,20200127,16521,1,6,SO43798,"2,171.29",3578.27
312,20200120,20200201,20200127,16636,1,6,SO43799,"2,171.29",3578.27
311,20200121,20200202,20200128,21710,1,19,SO43800,"2,171.29",3578.27
311,20200121,20200202,20200128,13583,1,98,SO43801,"2,171.29",3578.27
312,20200121,20200202,20200128,11593,1,39,SO43802,"2,171.29",3578.27
314,20200122,20200203,20200129,21741,1,19,SO43803,"2,171.29",3578.27
310,20200122,20200203,20200129,13585,1,98,SO43804,"2,171.29",3578.27
328,20200122,20200203,20200129,14510,1,100,SO43805,413.15,699.1
312,20200122,20200203,20200129,16523,1,6,SO43806,"2,171.29",3578.27
312,20200123,20200204,20200130,11611,1,39,SO43807,"2,171.29",3578.27
313,20200123,20200204,20200130,13259,1,29,SO43808,"2,171.29",3578.27
310,20200123,20200204,20200130,16350,1,6,SO43809,"2,171.29",3578.27
345,20200123,20200204,20200130,11004,1,6,SO43810,"1,912.15",3399.99
346,20200123,20200204,20200130,11026,1,6,SO43811,"1,912.15",3399.99
312,20200124,20200205,20200131,27662,1,100,SO43812,"2,171.29",3578.27
350,20200124,20200205,20200131,28390,1,39,SO43813,"1,898.09",3374.99
350,20200124,20200205,20200131,25866,1,100,SO43814,"1,898.09",3374.99
311,20200124,20200205,20200131,16494,1,6,SO43815,"2,171.29",3578.27
314,20200124,20200205,20200131,16496,1,6,SO43816,"2,171.29",3578.27
310,20200124,20200205,20200131,16519,1,6,SO43817,"2,171.29",3578.27
312,20200124,20200205,20200131,16528,1,6,SO43818,"2,171.29",3578.27
346,20200124,20200205,20200131,11006,1,6,SO43819,"1,912.15",3399.99
312,20200125,20200206,20200201,27651,1,100,SO43820,"2,171.29",3578.27
310,20200125,20200206,20200201,27663,1,100,SO43821,"2,171.29",3578.27
313,20200125,20200206,20200201,27669,1,100,SO43822,"2,171.29",3578.27
342,20200125,20200206,20200201,19942,1,98,SO43823,413.15,699.1
338,20200125,20200206,20200201,14558,1,100,SO43824,413.15,699.1
313,20200125,20200206,20200201,16349,1,6,SO43825,"2,171.29",3578.27
348,20200125,20200206,20200201,11008,1,6,SO43826,"1,898.09",3374.99
338,20200125,20200206,20200201,25250,1,6,SO43827,413.15,699.1
310,20200126,20200207,20200202,27605,1,100,SO43828,"2,171.29",3578.27
310,20200126,20200207,20200202,27611,1,100,SO43829,"2,171.29",3578.27
311,20200126,20200207,20200202,16347,1,6,SO43830,"2,171.29",3578.27
349,20200126,20200207,20200202,11028,1,6,SO43831,"1,898.09",3374.99
310,20200126,20200207,20200202,13584,1,98,SO43832,"2,171.29",3578.27
310,20200127,20200208,20200203,21727,1,19,SO43833,"2,171.29",3578.27
348,20200127,20200208,20200203,28393,1,39,SO43834,"1,898.09",3374.99
348,20200127,20200208,20200203,19802,1,19,SO43835,"1,898.09",3374.99
324,20200127,20200208,20200203,26620,1,19,SO43836,413.15,699.1
